"id";"address";"exchanged"
103;"131.243.155.174";"{""Volume"": 2688, ""Protocole"": {""Autre"": {""Nombrein"": 10, ""Volumeout"": 1152, ""Nombreout"": 18, ""Volumein"": 640}, ""IMAPS"": {""Nombrein"": 6, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 384}}, ""id"": 26}"
104;"131.243.155.178";"{""Volume"": 12992, ""Protocole"": {""Autre"": {""Nombrein"": 84, ""Volumeout"": 5248, ""Nombreout"": 82, ""Volumein"": 5376}, ""ICMP"": {""Nombrein"": 6, ""Volumeout"": 384, ""Nombreout"": 6, ""Volumein"": 384}, ""SMB"": {""Nombrein"": 11, ""Volumeout"": 896, ""Nombreout"": 14, ""Volumein"": 704}}, ""id"": 126}"
105;"131.243.60.244";"{""Volume"": 960, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 960, ""Nombreout"": 15, ""Volumein"": 0}}, ""id"": 177}"
106;"128.3.211.224";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 282}"
107;"128.3.188.158";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 76}"
108;"131.243.40.126";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 157}"
109;"131.243.90.52";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 318}"
110;"128.3.39.69";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 124}"
111;"131.243.103.182";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 277}"
112;"131.243.103.181";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 768, ""Nombreout"": 12, ""Volumein"": 0}}, ""id"": 196}"
113;"131.243.89.138";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 69}"
114;"128.3.97.204";"{""Volume"": 320, ""Protocole"": {""Autre"": {""Nombrein"": 1, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 64}}, ""id"": 222}"
115;"128.3.188.70";"{""Volume"": 320, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 320, ""Nombreout"": 5, ""Volumein"": 0}}, ""id"": 46}"
116;"59.223.4.149";"{""Volume"": 5888, ""Protocole"": {""HTTP"": {""Nombrein"": 34, ""Volumeout"": 3712, ""Nombreout"": 58, ""Volumein"": 2176}}, ""id"": 302}"
117;"170.138.112.37";"{""Volume"": 13760, ""Protocole"": {""IMAPS"": {""Nombrein"": 116, ""Volumeout"": 6336, ""Nombreout"": 99, ""Volumein"": 7424}}, ""id"": 85}"
118;"198.128.26.67";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 230}"
119;"208.201.173.240";"{""Volume"": 11520, ""Protocole"": {""HTTP"": {""Nombrein"": 84, ""Volumeout"": 6144, ""Nombreout"": 96, ""Volumein"": 5376}}, ""id"": 163}"
120;"131.243.95.248";"{""Volume"": 128, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 128, ""Nombreout"": 2, ""Volumein"": 0}}, ""id"": 65}"
121;"131.243.15.92";"{""Volume"": 256, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 256, ""Nombreout"": 4, ""Volumein"": 0}}, ""id"": 89}"
122;"128.3.7.204";"{""Volume"": 768, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 768, ""Nombreout"": 12, ""Volumein"": 0}}, ""id"": 252}"
123;"128.3.209.107";"{""Volume"": 448, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 448, ""Nombreout"": 7, ""Volumein"": 0}}, ""id"": 183}"
124;"128.3.255.147";"{""Volume"": 12288, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 12288, ""Nombreout"": 192, ""Volumein"": 0}}, ""id"": 62}"
125;"131.243.106.81";"{""Volume"": 512, ""Protocole"": {""Autre"": {""Nombrein"": 0, ""Volumeout"": 512, ""Nombreout"": 8, ""Volumein"": 0}}, ""id"": 93}"
