"id";"hostSrc";"hostDest";"portSrc";"portDest";"protocol"
1341;"131.243.63.143";"239.255.255.253";63657;427;"UDP"
1342;"128.3.255.49";"59.69.237.47";3752;80;"TCP"
1343;"131.243.140.86";"128.3.255.88";524;3589;"TCP"
1344;"128.3.161.22";"128.3.255.31";906;515;"TCP"
1345;"128.3.161.5";"128.3.255.189";3396;3947;"TCP"
1346;"128.3.255.49";"58.247.192.137";3588;80;"TCP"
1347;"128.3.161.5";"128.3.255.189";3396;3943;"TCP"
1348;"131.243.140.105";"128.3.255.187";524;3017;"TCP"
1349;"118.181.16.171";"128.3.255.42";554;3402;"TCP"
1350;"128.3.242.117";"239.255.255.253";58546;427;"UDP"
1351;"128.3.112.228";"239.255.255.253";57337;427;"UDP"
1352;"131.243.88.197";"239.255.255.253";50650;427;"UDP"
1353;"128.3.255.189";"128.3.161.5";3843;3396;"TCP"
1354;"128.3.255.75";"131.243.160.216";1048;1521;"TCP"
1355;"131.243.26.18";"239.255.255.253";63053;427;"UDP"
1356;"128.3.19.103";"224.0.1.22";1044;427;"UDP"
1357;"128.3.161.46";"128.3.255.189";3396;3861;"TCP"
1358;"128.3.161.230";"128.3.255.10";524;1032;"TCP"
1359;"128.3.161.230";"128.3.255.10";524;1031;"TCP"
1360;"128.3.161.46";"128.3.255.189";3396;3866;"TCP"
1361;"131.243.103.13";"239.255.255.253";54236;427;"UDP"
1362;"128.3.161.5";"128.3.255.189";3396;3857;"TCP"
1363;"128.3.255.73";"128.3.96.230";161;4618;"UDP"
1364;"128.3.194.57";"239.255.255.253";54207;427;"UDP"
1365;"128.3.255.229";"128.3.161.22";515;828;"TCP"
1366;"131.243.103.13";"239.255.255.253";54337;427;"UDP"
1367;"128.3.255.75";"128.3.161.230";1034;524;"TCP"
1368;"128.3.255.189";"128.3.161.177";3935;3396;"TCP"
1369;"128.3.161.5";"128.3.255.189";3396;3852;"TCP"
1370;"128.3.255.28";"204.119.192.249";1933;80;"TCP"
1371;"131.243.140.86";"128.3.255.46";524;1907;"TCP"
1372;"128.3.255.131";"208.0.11.228";4015;443;"TCP"
1373;"128.3.255.131";"208.0.11.228";4014;80;"TCP"
1374;"58.247.202.26";"128.3.255.49";80;3829;"TCP"
1375;"131.243.63.143";"239.255.255.253";63603;427;"UDP"
1376;"128.3.161.230";"128.3.255.211";524;3006;"TCP"
1377;"128.3.161.230";"128.3.255.211";524;3007;"TCP"
1378;"128.3.164.203";"128.3.255.14";389;34257;"TCP"
1379;"58.247.202.26";"128.3.255.49";80;3827;"TCP"
1380;"58.247.202.26";"128.3.255.49";80;3826;"TCP"
1381;"128.3.255.189";"128.3.161.5";3892;3396;"TCP"
1382;"128.3.161.177";"128.3.255.90";1590;161;"UDP"
1383;"131.243.103.13";"239.255.255.253";54239;427;"UDP"
1384;"128.3.255.49";"118.176.235.30";3778;80;"TCP"
1385;"128.3.161.177";"128.3.255.90";1591;161;"UDP"
1386;"128.3.18.113";"128.3.255.174";1043;2080;"TCP"
1387;"128.3.255.90";"128.3.161.252";161;1031;"UDP"
1388;"128.3.164.194";"128.3.255.202";143;1069;"TCP"
1389;"128.3.255.49";"59.69.237.47";3680;80;"TCP"
1390;"128.3.255.67";"218.131.115.32";2353;80;"TCP"
1391;"131.243.89.139";"128.3.255.154";11001;11001;"UDP"
1392;"131.243.140.105";"128.3.255.42";524;1032;"TCP"
1393;"128.3.255.49";"59.69.237.47";3782;80;"TCP"
1394;"128.3.242.56";"239.255.255.253";63374;427;"UDP"
1395;"128.3.255.186";"128.3.164.15";1117;993;"TCP"
1396;"128.3.255.21";"207.235.225.4";4469;80;"TCP"
1397;"128.3.39.33";"239.255.255.253";49447;427;"UDP"
1398;"128.3.255.21";"207.235.225.4";4471;80;"TCP"
1399;"128.3.161.62";"128.3.255.134";1056;2967;"UDP"
1400;"128.3.161.96";"128.3.255.227";445;1762;"TCP"
1401;"128.3.161.177";"128.3.255.241";1408;161;"UDP"
1402;"128.3.255.35";"206.87.181.234";3192;80;"TCP"
1403;"128.3.255.49";"208.166.54.108";3908;80;"TCP"
1404;"131.243.61.187";"239.255.255.253";61075;427;"UDP"
1405;"128.3.255.49";"59.69.237.47";3611;80;"TCP"
1406;"128.3.255.211";"128.3.161.177";3387;3396;"TCP"
1407;"131.243.160.251";"128.3.255.24";443;1250;"TCP"
1408;"131.243.160.251";"128.3.255.24";443;1254;"TCP"
